parameter_id,HRWLLA_CSD_008_001
analysis_id,p6935gishl3iref
pvalue,0.2853907
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
parameter_name,Coat - color pattern - back
gene_symbol,Dnajc8
