analysis_id,j8m1v36xw1cb185
parameter_id,IMPC_ACS_006_001
mouse_life_stage,Early adult
parameter_name,Response amplitude - S
mouse_strain,C57BL
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
pvalue,0.5583999
