gene_symbol,Cntfr
analysis_id,z1918w2649da8s4
gene_accession_id,MGI:99605
parameter_name,Coat - hair texture / appearance - abdomen
parameter_id,IMPC_CSD_016_001
pvalue,0.1093498
mouse_life_stage,Early adult
mouse_strain,129SV
