analysis_id,iy4sfxj22is1e7h
gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
pvalue,0.512177
mouse_strain,C57BL
gene_accession_id,MGI:1913576
