parameter_name,110dB startle magnitude
mouse_strain,C57BL
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
analysis_id,bxjosdp3oaz72nv
parameter_id,ESLIM_011_001_006
pvalue,0.6806117
mouse_life_stage,Early adult
