parameter_id,IMPC_CBC_053_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
gene_symbol,Ints7
analysis_id,hf78e627k9z5r2z
pvalue,0.6484092
parameter_name,Thyroxine
mouse_strain,C57BL
