analysis_id,c30r1g1pk0mp39m
gene_accession_id,MGI:97838
pvalue,0.9332415
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
