gene_symbol,Tubb4b
analysis_id,p7s9fsjme5dmn44
parameter_name,Triglycerides
mouse_strain,C57BL
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
pvalue,0.6525511
