parameter_name,center - distance
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
analysis_id,8432yrbyuf5k2pt
gene_symbol,Tiprl
pvalue,0.649712
