gene_symbol,Exd1
gene_accession_id,MGI:3045306
parameter_id,IMPC_HEM_031_001
mouse_strain,C57BL
parameter_name,Lymphocyte differential count
pvalue,0.5690909
mouse_life_stage,Early adult
analysis_id,0v3881y2k2n4e88
