parameter_name,Weight
mouse_strain,C57BL
gene_accession_id,MGI:1921262
analysis_id,4128329x2ro6xus
parameter_id,M-G-P_005_001_001
mouse_life_stage,Early adult
pvalue,0.3744729
gene_symbol,Rap2b
