gene_symbol,Fpgs
analysis_id,gqret83m22fz236
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
parameter_name,Limb grasping
pvalue,0.4436315
