analysis_id,031k07z072p95qn
gene_symbol,Eprs1
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
pvalue,0.3122986
parameter_name,CV
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
