gene_symbol,Cd52
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_125_001
gene_accession_id,MGI:1346088
pvalue,0.9812166
analysis_id,911vi87167fcrsb
parameter_name,Eosinophils - % of CD45+
