parameter_name,Respiration Rate
pvalue,0.4417914
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
analysis_id,89kgbnp8q1xpf2u
mouse_strain,C57BL
