gene_symbol,Kdm4c
parameter_id,MGP_IMM_013_001
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
mouse_strain,C57BL
analysis_id,29i56tw2b230151
pvalue,0.1436809
