analysis_id,4q4u45lk9u8ogjf
parameter_id,MGP_IMM_027_001
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:1931322
pvalue,0.2527094
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Car13
