parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
Gene_symbol,Cldn19
analysis_id,sx8o16xutk7shn1
Pvalue,0.4140894
parameter_id,IMPC_CBC_012_001
Mouse_strain,C57BL
