parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
pvalue,0.9025941
analysis_id,4g021547h6w2r04
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
