parameter_name,Total protein
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
pvalue,0.3094784
analysis_id,ko67b1032218rl5
gene_symbol,Dnajc5b
