gene_symbol,Psmd14
parameter_name,Follicular B cells - % of CD45+
analysis_id,9y44435z28ep031
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1189964
gene_accession_id,MGI:1913284
parameter_id,MGP_IMM_112_001
