parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
analysis_id,302ix39ki4i9x63
gene_symbol,Tnni1
gene_accession_id,MGI:105073
mouse_strain,C57BL
pvalue,0.1639536
