parameter_name,Retina (combined)
gene_accession_id,MGI:99501
parameter_id,IMPC_EYE_092_001
pvalue,0.9496639
mouse_life_stage,E12.5
analysis_id,d2ug6fxj4yt237j
mouse_strain,C57BL
gene_symbol,Fgb
