parameter_id,IMPC_EYE_003_001
pvalue,0.2446651
mouse_strain,C56BL
gene_accession_id,MGI:105072
parameter_name,Eye Hemorrhage or Blood Presence
gene_symbol,Rab22a
mouse_life_stage,Early adult
analysis_id,ez84nrll15t2428
