analysis_id,3k9qv959103kw6d
pvalue,0.3933083
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slc2a8
parameter_id,IMPC_GEL_017_002
parameter_name,Pale yolk sac
