gene_symbol,Stk35
parameter_name,Periphery permanence time
mouse_strain,C57BL
pvalue,0.1158354
analysis_id,k4561r1zw792410
parameter_id,IMPC_OFD_012_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
