analysis_id,391g56122z64hgg
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_symbol,Cldn19
parameter_id,IMPC_IMM_004_002
pvalue,0.663967
