gene_symbol,Eprs1
pvalue,0.2544248
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
parameter_id,JAX_OFD_022_001
parameter_name,Percentage center time
analysis_id,sl5k817673jrucq
