analysis_id,64ie311ft6j63pb
mouse_strain,C57BL
pvalue,0.06444604
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
parameter_id,MGP_MLN_064_001
parameter_name,Total CD4+ T cells - % of CD45+
