analysis_id,n684m1u009u9z09
parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
mouse_strain,129SV
pvalue,0.2865325
gene_accession_id,MGI:1920638
gene_symbol,BPIFA3
mouse_life_stage,Early adult
