parameter_name,RR
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
pvalue,0.5524379
mouse_strain,C57BL
analysis_id,lru405l4lokc2t6
gene_symbol,Slc30a4
parameter_id,IMPC_ECG_004_001
