gene_symbol,Arpc2
analysis_id,159q280289jsv38
mouse_strain,129SV
parameter_id,MGP_IMM_014_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.6001765
gene_accession_id,MGI:1923959
