analysis_id,nly641501clftkq
parameter_id,IMPC_ECH_005_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Fractional Shortening
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
pvalue,0.7265349
