mouse_strain,129SV
gene_symbol,Ddx27
mouse_life_stage,Early adult
analysis_id,6y5724ss688c2y3
pvalue,0.3649392
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:2385884
parameter_name,Thoracic processes
