gene_symbol,Cntfr
pvalue,0.8346331
analysis_id,64z871165t68a5p
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
mouse_strain,129SV
