analysis_id,p6gk9s46ot095r0
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.6267986
parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
gene_symbol,Cntfr
