analysis_id,o5yf1vs34syk963
parameter_id,IMPC_OFD_012_001
mouse_life_stage,Early adult
gene_symbol,Nipal3
gene_accession_id,MGI:1921802
mouse_strain,129SV
pvalue,0.4494001
parameter_name,Periphery permanence time
