parameter_name,Retina (combined)
gene_accession_id,MGI:109128
analysis_id,43644700roz9093
mouse_strain,C57BL
pvalue,0.9759043
mouse_life_stage,Late adult
gene_symbol,Hnf4a
parameter_id,IMPC_EYE_092_001
