gene_symbol,Sla2
analysis_id,wrzo7n0j71dr0jf
gene_accession_id,MGI:1925049
parameter_id,MGP_MLN_013_001
pvalue,0.07638008
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
