analysis_id,6y4ysjab3gyer5t
gene_accession_id,MGI:1918764
parameter_name,Skull shape
pvalue,0.5969158
mouse_strain,C57BL
parameter_id,IMPC_XRY_001_001
gene_symbol,Sfpq
mouse_life_stage,Early adult
