parameter_name,center - resting time
mouse_strain,C57BL
gene_symbol,Ints7
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
analysis_id,9y6p9kpp3h8voyi
pvalue,0.05523235
parameter_id,M-G-P_007_001_011
