analysis_id,vkgccwvkr84uy5q
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
parameter_name,Sacral processes
mouse_strain,C57BL
pvalue,0.6896623
gene_symbol,Gja10
parameter_id,IMPC_XRY_066_001
