parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
analysis_id,c24852h54ia4dn7
gene_accession_id,MGI:88461
pvalue,0.8841671
parameter_name,Tibia length
gene_symbol,Col6a3
mouse_life_stage,Early adult
