parameter_name,Glucose
parameter_id,IMPC_CBC_018_001
pvalue,0.7306256
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
mouse_strain,C57BL
analysis_id,57rs5e78h9s32bh
gene_symbol,Pum1
