analysis_id,52g39880536961g
parameter_id,IMPC_GEP_076_001
mouse_strain,C57BL
parameter_name,Cleft palate
pvalue,0.7825404
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
mouse_life_stage,Early adult
