parameter_name,Basophil differential count
analysis_id,8ef7an29y97by08
mouse_strain,C57BL
gene_symbol,Wars2
parameter_id,IMPC_HEM_038_001
pvalue,0.7713823
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
