parameter_id,JAXLA_CSD_077_001
gene_symbol,Gpbp1l1
analysis_id,bp382bc1613m6gb
mouse_strain,C57BL
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
pvalue,0.05356894
parameter_name,Contact righting
