analysis_id,v87kj380i17mg0n
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
parameter_id,M-G-P_025_001_030
parameter_name,Magnesium
mouse_strain,C57BL
pvalue,0.3634628
mouse_life_stage,Middle aged adult
