analysis_id,5j490yj4e08n3bh
parameter_name,PQ
gene_symbol,Mgst2
gene_accession_id,MGI:2448481
parameter_id,IMPC_ECG_005_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6613023
