analysis_id,z4180u3zt690187
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.157877
parameter_name,Periphery average speed
gene_accession_id,MGI:97838
parameter_id,HRWLLA_OFD_013_001
gene_symbol,Eprs1
