parameter_id,JAX_URI_002_001
mouse_strain,C57BL
gene_symbol,Hpca
analysis_id,8k4cjs759uln872
pvalue,0.8830439
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
parameter_name,Creatinine
