parameter_name,Creatinine
pvalue,0.5810945
mouse_life_stage,E9.5
analysis_id,mknu35ds3324645
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:1913483
mouse_strain,C57BL
gene_symbol,Dmap1
