gene_symbol,Usp37
parameter_name,lens opacity
analysis_id,ijl6thadqp76xs4
pvalue,0.2746423
parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
