mouse_life_stage,E15.5
mouse_strain,C57BL
analysis_id,1fk81s9vv8h8656
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,M-G-P_007_001_010
pvalue,0.9140204
parameter_name,center - distance
