analysis_id,25u4138uytnkxw2
mouse_strain,C57BL
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
pvalue,0.4642076
mouse_life_stage,E12.5
