analysis_id,70d71bz5z9tkqh3
parameter_id,IMPC_IMM_069_001
pvalue,0.4394313
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
mouse_life_stage,Early adult
