analysis_id,x25t5c5997f411n
parameter_id,IMPC_CSD_030_001
pvalue,0.7398356
parameter_name,Tremor
mouse_strain,C57BL
gene_symbol,Kif24
gene_accession_id,MGI:1918345
mouse_life_stage,Early adult
