gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Eye
analysis_id,764u35d31n110tm
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_001_001
pvalue,0.2963471
gene_accession_id,MGI:2446274
