analysis_id,ev1iht938284366
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5454455
gene_symbol,Zmynd8
parameter_name,Eye
gene_accession_id,MGI:1918025
parameter_id,M-G-P_014_001_001
