analysis_id,crj945z3r94vz91
parameter_name,Mean-cell-volume
pvalue,0.3898125
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
mouse_strain,C57BL
