parameter_name,RR
analysis_id,64hd3h8a8i8yr50
gene_accession_id,MGI:1914437
parameter_id,IMPC_ECG_004_001
pvalue,0.466103
gene_symbol,Zmynd19
mouse_life_stage,Early adult
mouse_strain,C57BL
