parameter_name,Iron
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
analysis_id,xx5b515qx4a7avr
pvalue,0.8012402
parameter_id,IMPC_CBC_011_001
gene_symbol,Slc39a10
