analysis_id,z794v4b6n6qf7gf
mouse_strain,C57BL
parameter_name,Midbrain
gene_symbol,Slc28a2
pvalue,0.9687148
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913105
