analysis_id,96vk23y8jdo706t
parameter_id,ICS_FEA_019_001
pvalue,0.79677
parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
